formType,filedAt,linkToFiling,companyName
10-K,2024-11-01T06:01:36-04:00,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/0000320193-24-000123-index.htm,Apple Inc.
10-K,2023-11-02T18:08:27-04:00,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/0000320193-23-000106-index.htm,Apple Inc.
10-K,2022-10-27T18:01:14-04:00,https://www.sec.gov/Archives/edgar/data/320193/000032019322000108/0000320193-22-000108-index.htm,Apple Inc.
10-K,2021-10-28T18:04:28-04:00,https://www.sec.gov/Archives/edgar/data/320193/000032019321000105/0000320193-21-000105-index.htm,Apple Inc.
10-K,2020-10-29T18:06:25-04:00,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/0000320193-20-000096-index.htm,Apple Inc.
